terminal	axis	variant	rep	metric	value	unit
noa	latency	-	1	median_ns	30000	ns
noa	latency	-	1	p99_ns	75000	ns
noa	latency	-	1	min_ns	11000	ns
noa	latency	-	2	median_ns	28000	ns
noa	latency	-	2	p99_ns	260000	ns
noa	latency	-	2	min_ns	10000	ns
noa	latency	-	median	median_ns	29000	ns
noa	latency	-	median	p99_ns	167500	ns
ghostty	latency	-	1	median_ns	37000	ns
ghostty	latency	-	1	p99_ns	62000	ns
ghostty	latency	-	1	min_ns	12000	ns
ghostty	latency	-	2	median_ns	40000	ns
ghostty	latency	-	2	p99_ns	68000	ns
ghostty	latency	-	2	min_ns	13000	ns
ghostty	latency	-	median	median_ns	38500	ns
ghostty	latency	-	median	p99_ns	65000	ns
termy	latency	-	1	median_ns	16664000	ns
termy	latency	-	1	p99_ns	55408000	ns
termy	latency	-	1	min_ns	14818000	ns
termy	latency	-	2	median_ns	16665000	ns
termy	latency	-	2	p99_ns	18507000	ns
termy	latency	-	2	min_ns	14707000	ns
termy	latency	-	median	median_ns	16664500	ns
termy	latency	-	median	p99_ns	36957500	ns
kitty	latency	-	1	median_ns	3814000	ns
kitty	latency	-	1	p99_ns	4077000	ns
kitty	latency	-	1	min_ns	3103000	ns
kitty	latency	-	2	median_ns	3814000	ns
kitty	latency	-	2	p99_ns	4090000	ns
kitty	latency	-	2	min_ns	3085000	ns
kitty	latency	-	median	median_ns	3814000	ns
kitty	latency	-	median	p99_ns	4083500	ns
noa	startup	-	1	total_ns	68696000	ns
noa	startup	-	2	total_ns	81976000	ns
noa	startup	-	3	total_ns	95167000	ns
noa	startup	-	4	total_ns	90647000	ns
noa	startup	-	5	total_ns	104451000	ns
noa	startup	-	median	total_ns	90647000	ns
ghostty	startup	-	1	total_ns	173344000	ns
ghostty	startup	-	2	total_ns	175076000	ns
ghostty	startup	-	3	total_ns	155565000	ns
ghostty	startup	-	4	total_ns	181091000	ns
ghostty	startup	-	5	total_ns	169423000	ns
ghostty	startup	-	median	total_ns	173344000	ns
termy	startup	-	1	total_ns	181843000	ns
termy	startup	-	2	total_ns	200053000	ns
termy	startup	-	3	total_ns	199207000	ns
termy	startup	-	4	total_ns	205014000	ns
termy	startup	-	5	total_ns	193012000	ns
termy	startup	-	median	total_ns	199207000	ns
kitty	startup	-	1	total_ns	278758000	ns
kitty	startup	-	2	total_ns	289293000	ns
kitty	startup	-	3	total_ns	297836000	ns
kitty	startup	-	4	total_ns	290868000	ns
kitty	startup	-	5	total_ns	273141000	ns
kitty	startup	-	median	total_ns	289293000	ns
